title,address1,address2,city,state,zipcode,website,phone,tags,latitude,longitude
D'ELS BOUTIQUE,18 BALBOA STREET,,MAYAQUEZ,PR,680,,,,18.181938,-67.133802
SCANDIHOOVIANS,49 BOLTWOOD WALK,,AMHERST,MA,1002,,,,42.376476,-72.519309
"IT'S ALL ABOUT ME INC. (HAMPDEN, MA)",2 SOMERS RD.,,HAMPDEN,MA,1036,,,,42.05809,-72.441416
THE ARTISAN GALLERY,162 MAIN ST.,,NORTHAMPTON,MA,1060,,,,42.318188,-72.631004
SOLO FLIGHT INC. DBA:CASABLANCA,170 COLT ROAD,,PITTSFIELD,MA,1201,,,,42.439728,-73.251504
CAWING CROW DBA:GB9,9 RAILROAD ST.,,GREAT BARRINGTON,MA,1230,,,,42.194511,-73.363105
BYZANTIUM,32 RAILROAD ST,,GREAT BARRINGTON,MA,1230,,,,42.195027,-73.363305
EVIVA,22 WALKER ST,,LENOX,MA,1240,,,,42.356244,-73.284247
PURPLE PLUME (LENCY),35 CHURCH ST,,LENOX,MA,1240,,,,42.357617,-73.283367
MAINSTREAM BOUTIQUE (NORTHBOROUGH),290 WEST MAIN ST SUITE#3,,NORTHBOROUGH,,1532,,,,42.30786,-71.658803
IKES DEN INC,284 BOSTON TURNPIKE,,SHREWSBURY,MA,1545,,,,42.275336,-71.738621
SANDRA ANN'S BOUTIQUE,284 BOSTON TURNPIKE,,SHREWSBURY,MA,1545,,,,42.275336,-71.738621
ELEMENTS AT THE CIRCLE,10 EAST MAIN STREET,,WESTBOROUGH,MA,1581,,,,42.270155,-71.612922
FRENCH TWIST BOUTIQUE,1098 PLEASANT ST,,WORCESTER,MA,1602,,,,42.277944,-71.851908
GOULDS OF ACTON,260 GREAT ROAD,,ACTON,MA,1720,,,,42.494693,-71.417682
GULBANKIAN FLORIST,40 MT VICKERY RD.,,SOUTHBORO,MA,1772,,,,42.286361,-71.524519
SELECTIONS,435 BOSTON POST ROAD #7,,SUDBURY,MA,1776,,,,42.359686,-71.420917
IZZY'S BOUTIQUE INC.,21 BARNARD ST,,ANDOVER,MA,1810,,,,42.656173,-71.139111
GIOVANNI CAPATO,61 WINGATE STREET,,HAVERHILL,MA,1832,,,,42.773747,-71.085254
AINES BOUTIQUE,662 MAIN STREET,,READING,MA,1867,,,,42.524779,-71.10321
RADA BOUTIQUE,394 MAIN STREET,,WAKEFIELD,MA,1880,,,,42.503478,-71.070052
SoleAmour,17 Thompson Street,,Winchester,MA,1890,,,,42.45218,-71.136999
RECESS,41 CHURCH ST,,WINCHESTER,MA,1890,,,,42.451514,-71.139247
INFINITY BOUTIQUE,427 PARADISE ROAD,,SWAMPSCOTT,MA,1907,,,,42.48114,-70.901564
PARKE PLACE BOUTIQUE,42 MAIN STREET,,AMESBURY,MA,1913,,,,42.857026,-70.930727
POP GALLERY,67 MAIN ST.,,GLOUCESTER,MA,1930,,,,42.612307,-70.66485
NORTH COAST TOO,40 UNION ST,,MANCHESTER,MA,1944,,,,42.575284,-70.770041
IRRESISTIBLES,7 HAWKES STREET,,MARBLEHEAD,MA,1945,,,,42.500204,-70.856435
SMITTEN,23 INN STREET,,NEWBURYPORT,MA,1950,,,,42.810519,-70.870391
STUFF,25 LIME STREET,,NEWBURYPORT,ME,1950,,,,42.808479,-70.863675
ULTIMATE,168 NEWBURY ST,,PEABODY,MA,1960,,,,42.540549,-70.987563
FOUR CHIMNEYS BY THE SEA,25 DOCK SQUARE,,ROCKPORT,MA,1966,,,,42.658738,-70.617343
WILLOUGHBYS (FOUR OF WANDS INC),20F MAIN STREET,,ROCKPORT,MA,1966,,,,42.65816,-70.618631
PINK TULIP,15 DEPOT CT,,COHASSET,MA,2025,,,,42.240942,-70.803134
FIESTA GIFTS DBA BUTTEFLYTREE(,505 MAIN STREET,,MEDFIELD,MA,2052,,,,42.186469,-71.30663
FINE FEATHER,74 MAIN ST,,MEDWAY,MA,2053,,,,42.15205,-71.413126
BOLINE BOUTIQUE INC,426 WASHINGTON ST.,,NORWELL,MA,2061,,,,42.159572,-70.855801
FRAN'S FASHIONS,48 WILLIAMS RD.,,SHARON,MA,2067,,,,42.105991,-71.136377
THE LUXURY LEG WEAR,106 SOUTH MAIN ST.,,SHARON,MA,2067,,,,42.119724,-71.18101
SEA STORES INC/ALIKAT,1 SOUTH MARKET BUILDING,,BOSTON,MA,2109,,,,42.359614,-71.056035
BETSY JENNEY,114 NEWBURY ST.,,BOSTON,MA,2116,,,,42.35115,-71.07592
CAMBRIDGE SELECT INC.,"50 TERMINAL ST, STE 514",,CHARLESTOWN,MA,2129,,,,42.382368,-71.060809
MILTONS INC. THE STORE FOR MEN,"250 GRANITE ST., STE 208",,BRAINTREE,MA,2184,,,,42.219092,-71.025607
ADH ENT. INC DBA: DENISE HAJJAR BOUTIQUE,510 ATLANTIC AVE. STE A,,BOSTON,MA,2210,,,,42.35421,-71.052014
B I DEACONESS GIFT SHOP,1 DEACONESS ROAD,,BOSTON,MA,2215,,,,42.3378,-71.10908
PORT CARGO,2071 WASHINGTON ST,,HANOVER,MA,2339,,,,42.156308,-70.848705
POSH,285 WASHINGTON ST,,N. EASTON,MA,2356,,,,42.067161,-71.088474
COLLECTIONS ON COURT,2 COURT STREET,,PLYMOUTH,MA,2360,,,,41.956999,-70.665531
"THE STUDIO (BROOKLINE, MA)",233 HARVARD ST,,BROOKLINE,MA,2446,,,,42.340805,-71.120702
SHOE HORN INC.,317 WALNUT ST.,,NEWTONVILLE,MA,2460,,,,42.350023,-71.207088
SHARON FASHION,32 LINCOLN ST,,NEWTON,MA,2461,,,,42.321389,-71.207249
W.O.W. INC.,14 NEEDHAM ST,,NEWTON,MA,2461,,,,42.316094,-71.209413
ARTWEAR,185 MASSACHUSETTS AVE.,,ARLINGTON,MA,2474,,,,42.405822,-71.141965
THIRTY PETALS,34 LEONARD ST,,BELMONT,MA,2478,,,,42.397144,-71.175899
CHATFIELD TAYLOR,120 CHURCH ST,,WESTON,MA,2493,,,,42.375911,-71.28839
LOLA TORTOLA,205 BOSTON POST RD,,WESTON,MA,2493,,,,42.368233,-71.280255
TREASURE CHEST GIFTS,233 MAIN ST,,FALMOUTH,MA,2540,,,,41.551958,-70.615795
ANDI CAROLE,20 SEA ST,,HYANNIS,MA,2601,,,,41.64853,-70.290564
LA BODEGA,1075 MAIN ST,,BREWSTER,MA,2631,,,,41.754061,-70.11023
THE RED BARN,48 MAIN STREET,,ORLEANS,MA,2653,,,,41.787238,-69.990242
WARDROBE,213 COMMERCIAL ST,,PROVINCETOWN,MA,2657,,,,42.049121,-70.188728
MIRROR BOUTIQUE,32 WHITMAN LANE,,NORTH ATTLEBORO,MA,2760,,,,41.980511,-71.315994
DENIS CLOSET,767 MAIN RD,,WESTPORT,MA,2790,,,,41.581697,-71.089876
SEVAN ENTERPRISES DBA:SONYA'S,766 OAKLAWN AVE.,,CRANSTON,RI,2920,,,,41.751701,-71.477122
FRESH OF NASHUA,178 MAIN ST,,NASHUA,NH,3060,,,,42.760724,-71.46496
ELIZABETH KARL BOUTIQUE,127 ROCKINGHAM ROAD,,WINDHAM,NH,3087,,,,42.835213,-71.258425
GONDWANA & DIVINE CLOTHING,13 N MAIN STREET,,CONCORD,NH,3301,,,,43.283128,-71.602387
CRAFTWORKS,67 MAIN STREET,,BRIDGTON,ME,4009,,,,44.054775,-70.711177
WYLERS GALLERY,150 MAINE STREET,,BRUNSWICK,ME,4011,,,,43.914244,-69.965237
GREEN TANGERINE,2 COTTAGEWOOD LANE,,KENNEBUNK,ME,4043,,,,43.355964,-70.503644
MOTIFS,221 COMMERCIAL ST.,,PORTLAND,ME,4101,,,,43.655364,-70.253983
CARLA BELLA,469 FORE ST,,PORTLAND,ME,4101,,,,43.655617,-70.25557
CAPE MADRAS,14 LEDGEWOOD LANE,,CAPE ELIZABETH,ME,4107,,,,43.577333,-70.210811
BELLA FIORE,76 SABATTUS STREET,,LEWISTON,ME,4240,,,,44.100276,-70.211214
BOHEMIAN ROSE,106 FRONT ST,,BATH,ME,4530,,,,43.913524,-69.814305
PIZAZZ,360 MAIN STREET,,SOUTHWEST HARBOR,ME,4679,,,,44.279375,-68.326008
EARTH BOUND,109 MAIN ST,,WATERMILLE,ME,4901,,,,44.550292,-69.629956
OODLES,85 NORTH MAIN STREET SUITE 105,,WHITE RIVER JUNCTION,VT,5001,,,,43.649651,-72.320564
FAT HAT CLOTHING CO,1 QUECHEE MAIN STREET,,QUECHEE,VT,5059,,,,43.652633,-72.391271
"PANACHE (BENNINGTON, VT)",530 MAIN STREET,,BENNINGTON,VT,5201,,,,42.878237,-73.193617
MARILYNS,115 COLLEGE STREET,,BURLINGTON,VT,5401,,,,44.476791,-73.215197
DAFFODIL,153 PEARL ST,,ESSEX JUNCTION,VT,5452,,,,44.49788,-73.126711
EVERYWEAR FOR EVERYBODY,233 MAIN ST,,VERGENNES,VT,5491,,,,44.166716,-73.254383
ADDISON FOUR CORNERS STORE,4934 RT 22A,,ADDISON,VT,5491,,,,44.089568,-73.30235
BAILEY ROAD,44 MAIN ST.,,MONTPELIER,VT,5602,,,,44.259412,-72.576215
ADORN,27 STATE ST,,MONTPELIER,VT,5602,,,,44.260454,-72.576265
BLUE MOON,43 CENTER STREET,,BRANDON,VT,5733,,,,43.799599,-73.088727
EFFIEDUDLEY,183 BIRCH LANE,,KILLINGTON,VT,5751,,,,43.646997,-72.791917
SHAPIROS,131 CHURCH STREET,,ORWELL,VT,5760,,,,43.798351,-73.29761
BODYTALK,51 EAST MAIN STREET,,AVON,CT,6001,,,,41.806522,-72.825753
FASHION AFFAIR,5 E. CAMPBELL ST.,,ARLINGTON HEIGHTS,IL,6005,,,,42.082714,-87.982678
"COCO'S COTTAGE (WOODSTOCK, CT)",253 ROUTE 171,,S. WOODSTOCK,CT,6281,,,,41.940615,-72.072942
CATHERINE M (STONEWEAR CLOTHING),33 W MAIN ST,,MYSTIC,CT,6355,,,,41.354366,-71.971485
COUNTRY SHOP,684 BOSTON POST RD,,MADISON,CT,6443,,,,41.279106,-72.596526
ODEON,918 WHALLEY AVE,,NEW HAVEN,CT,6515,,,,41.32744,-72.960672
YAVAL INC DBA PASTICHE LTD,250 SOUND BEACH AVE,,OLD GREENWICH,CT,6870,,,,41.031068,-73.567412
NOUVELLE,72 HILLSDALE ROAD,,CEDAR GROVE,NJ,7009,,,,40.838538,-74.222583
580 SOUTH,580 S. LIVINGSTON AVE.,,LIVINGSTON,NJ,7039,,,,40.773709,-74.325627
DAIVAL INC. DBA: DAISY DESIGNS,513 36TH STREET,,UNION CITY,NJ,7087,,,,40.774293,-74.027897
HORNBURG CALYPSO LTD,614 PROGRESS ST.,,ELIZABETH,NJ,7201,,,,40.67105,-74.19143
OCEAN DRIVE,1430 CHESTNUT AVENUE,,HILLSIDE,NJ,7205,,,,40.70536,-74.233756
TSCILLA,681 NEWARK AVE,,ELIZABETH,NJ,7208,,,,40.679517,-74.209708
VOGUE 'M,"32-40 N, DEAN ST",,INGLEWOOD,NJ,7631,,,,40.894914,-73.974097
606,606 RIVER ROAD,,FAIR HAVEN,NJ,7704,,,,40.361339,-74.041467
JOHN SULLIVAN,39 GARFIELD AVENUE,,AVON BY THE SEA,NJ,7717,,,,40.190649,-74.011655
DARCY PARK BOUTIQUE,1723 L. STREET,,WALL,NJ,7719,,,,40.170858,-74.039264
RONNIE'S PLACE,359 STATE ROUTE 34,,MATAWAN,NJ,7747,,,,40.422279,-74.266
OCEAN GROVE TRADING,74 MAIN AVE,,OCEAN GROVE,NJ,7756,,,,40.212215,-74.008482
ANOTHER ANGLE,1108 3RD AVE.,,SPRINGLAKE,NJ,7762,,,,40.151857,-74.028287
CORAL COVE LLC.,1106 3RD AVE.,,SPRINGLAKE,NJ,7762,,,,40.151809,-74.0283
WEEZERS GIFTS,21 MAIN ST,,NETCONG,NJ,7857,,,,40.900059,-74.706295
PB&J STORES,273 ANDOVER SPARTA ROAD,,NEWTON,NJ,7860,,,,41.017781,-74.691126
MELANIA FAHIONS,517 STATE ROUTE 10 EAST,,RANDALPH,NJ,7869,,,,40.862107,-74.569775
APOGEE,52 A. SOUTH FINLEY AVE,,BASKING RIDGE,NJ,7920,,,,40.705545,-74.548664
THE PRETTY PINK ROOSTER,100 BERKELEY CIRCLE,,BASKING RIDGE,NJ,7920,,,,40.700651,-74.566599
THE PRETTY PINK ROOSTER,115 MORRISTOWN ROAD ,SUITE A,BERNARDSVILLE,New Jersey,7924,,,,40.720011,-74.559624
"POUR HOMME, LLC",3 FOREST STREET,,CHATHAM,NJ,7928,,,,40.7295,-74.418748
YOU'RE NOT IN KANSAS ANYMORE,35 PERRY STREET,,CHESTER,NJ,7930,,,,40.783793,-74.696016
THE RED TOAD,49 RT 202,,FAR HILLS,NJ,7931,,,,40.685223,-74.634864
WINDSWEPT BOUTIQUE LLC,4 EAST MAIN STREET,,MENDHAM,NJ,7945,,,,40.776158,-74.600581
LAUREN B INC.,55 SOUTH STREET,,MORRISTOWN,NJ,7960,,,,40.794769,-74.479531
FINALLY THE PERFECT GIFT,2083 ROUTE 70 EAST,,CHERRY HILL,NJ,8003,,,,39.896512,-74.949897
"12TH FLOOR, LLC.",15 NORTH 15TH ST,,SURF CITY,NJ,8008,,,,39.663718,-74.162607
REYNOLDS GARDEN SHOP,201 E. BAY AVENUE,,MANAHAWKING,NJ,8050,,,,39.691996,-74.252788
WILDFLOWERS BY CRICKET,1286 RIDGE AVE,,MANAHAWKIN,NJ,8050,,,,39.73113,-74.247007
BARBARA SIMEDILE,17 CHAUCER LANE,,MEDFORD,NJ,8055,,,,39.913008,-74.803808
QUEEN BEE BOUTIQUE,510 STROKES RD. STE A,,MEDFORD,NJ,8055,,,,39.90095,-74.8235
ROMP APPAREL,41 PIERCES POINT ROAD,,CAPE MAY COURT HOUSE,NJ,8210,,,,39.077406,-74.900445
SUN SEEKERS INC.,751 ASBURY AVENUE,,OCEAN CITY,NJ,8226,,,,39.280375,-74.574229
TALK OF THE WALK,410 S. MAIN ST.,,PLEASANTVILLE,NJ,8232,,,,39.387133,-74.526147
CHRISSIE'S BOUTIQUE NJ,3806 LANDIS AVE,,SEA ISLE CITY,NJ,8243,,,,39.157462,-74.690067
MARKLE'S INC,9425 SECOND AVE,,STONE HARBOR,NJ,8247,,,,39.054411,-74.758123
MRS B'S,7312 VENTNOR AVE,,VENTNOR CITY,NJ,8406,,,,39.33308,-74.492277
A TOUCH OF PANACHE,6419 VENTNOR AVE,,VENTNOR,NJ,8406,,,,39.338211,-74.482469
HIGHBAR BOUTIQUE,8 SOUSA CT,,E. WINDSOR,NJ,8520,,,,40.251217,-74.544224
LISA JONES,16 WITHERSPOON ST.,,PRINCETON,NJ,8542,,,,40.350258,-74.660238
LILI B'S,1378 US HIGHWAY 206,,SKILLMAN,NJ,8558,,,,40.406742,-74.650835
B&B DEPARTMENT STORES SOUTH LLC.,254 DRUM POINT RD.,,BRICK,NJ,8723,,,,40.04383,-74.118605
BERNSTEINS FASHION,9 LICOLN HIGHWAY,,EDISON,NJ,8820,,,,40.576611,-74.362616
DEBB'S BOUTIQUE,9 SEDGWICK STREET,,JAMESBURG,NJ,8831,,,,40.353651,-74.44036
SOIREE,85 W MAIN ST.,,SOMMERVILE,NJ,8876,,,,40.568876,-74.614444
"DJ LADIES APPAREL, CORP","19 W. 34TH STREET, SUITE 600",,NEW YORK,NY,10001,,,,40.749189,-73.985922
LOUNGE,1430 BROADWAY ST 905,,NEW YORK,NY,10018,,,,40.75407,-73.986746
MARY JO KEEBLE,60 W. 57 TH STREET  SUITE # 2E,,NEW YORK CITY,NY,10019,,,,40.764048,-73.976994
DANIELLA BELLAS SOUTH BOUTIQUE,64 SHARROTT AVENUE,,STATEN ISLAND,NY,10309,,,,40.522371,-74.213865
ALVARO CARRASCO,1324 OGDEN AVE,,BRONX,NY,10452,,,,40.840625,-73.925041
HARRIMAN CLOTHING CO.,186 ROUTE 17 M SUITE 3,,HARRIMAN,NY,10926,,,,41.308537,-74.1443
AVANTI,2 JOCKEY HOLLOW RD,,WARWICK,NY,10990,,,,41.234197,-74.415875
SILVER DESIGNS PLUS INC.,271-10 GRAND CENTRAL PKWY,,FLORAL PARK,NY,11005,,,,40.757582,-73.713571
BRENDA'S,4518 18TH AVE.,,BROOKLYN,NY,11204,,,,40.630072,-73.97891
LA ESQUINA FASHION,592 BUSHWICK AVE,,BROOKLYN,NY,11206,,,,40.69855,-73.934761
579,1000 PENNSYLVANIA AVENUE,,BROOKLYN,NY,11207,,,,40.654741,-73.887975
RAINBOW,1000 PENNSYLVANIA AVENUE,,BROOKLYN,NY,11207,,,,40.654741,-73.887975
FIFTH AVENUE MENSWEAR,5902 5TH AVENUE,,BROOKLYN,NY,11220,,,,40.64005,-74.015768
LESTER'S OF NEW YORK INC,2411 CONEY ISLAND AVE.,,BROOKLYN,NY,11223,,,,40.59813,-73.960965
POLAS FASHIONS,720 KINGS HWY,,BROOKLYN,NY,11223,,,,40.60622,-73.964974
TALKING FASHION,1381 CONEY ISLAND AVE.,,BROOKLYN,NY,11230,,,,40.62389,-73.964805
"SWEAT T'S AND MORE, INC",219 36TH STREET,,BROOKLYN,NY,11232,,,,40.656585,-74.007983
KK TOTAL FASHION,89 38 165TH ST,,JAMAICA,NY,11432,,,,40.706677,-73.795794
PRESAVA,270 MERRICK RD,,BALDWIN,NY,11510,,,,40.667091,-73.706922
NATIONAL WHOLESALE LIQUIDATORS,111 HEMPSTEAD TURNPIKE,,WEST HEMPSTEAD,NY,11552,,,,40.704608,-73.642338
BIRCH,28 BIRCH HILL RD,,LOCUST VALLEY,NY,11560,,,,40.875701,-73.596911
GAGA FASHION COVER GIRL FASHION,130 E PARK AVE,,LONG BEACH,NY,11561,,,,40.58818,-73.660018
STORM BOUTIQUE,2743 BEACH DRIVE,,MERRICK,NY,11566,,,,40.649521,-73.553478
TEMPTATIONS FOR HER,3175 LONG BEACH RD,,OCEANSIDE,NY,11572,,,,40.634155,-73.639701
FRANCINES FASHION BOUTIQUE,5 GREEN ST,,HUNTINGTON,NY,11743,,,,40.870764,-73.428664
CASUAL 2 DRESSY,2 RUSTIC GATE,,DIX HILLS,NY,11746,,,,40.784977,-73.35821
CINDI'S,210 JERICHO TPKE,,SYOSSET,NY,11791,,,,40.809732,-73.509079
MRTIQUE,7939 JERICHO TPKE,,WOODBURY,NY,11797,,,,40.815918,-73.476568
PENELOPE (NEW YORK),8025 JERICHO TURNPIKE,,WOODBURY,NY,11797,,,,0,0
TRULY RHE,ONE BROADWAY,,TRAY,NY,12180,,,,42.720603,-73.695323
URSULA,31 MOHAWK AVE,,WATERFORD,NY,12188,,,,42.788615,-73.683046
CIRCLES,STUYVESANT PLAZA,,ALBANY,NY,12203,,,,42.791581,-73.883285
BUMBLE BEADS BOUTIQUE,8 BIRCH HILL RD.,,ALBANY,NY,12211,,,,42.680077,-73.752662
DIG THE SHOP,89 PARTITION ST,,SAUGERTIES,NY,12477,,,,42.077509,-73.951219
WOOD STOCK DESIGN,9  TINKER ST,,WOODSTOCK,NY,12498,,,,42.040786,-74.11851
ECHO,470 MAIN STREET,,BEACON,NY,12508,,,,41.50198,-73.964503
RAMBLING ROSE LTD,73 MAIN STREET,,NEW PALTZ,NY,12561,,,,41.74806,-74.085725
JOOVAY LINGERIE INC,6423 MONTGOMERY ST,,RHINEBECK,NY,12572,,,,41.927934,-73.912998
HAVEN BOUTIQUE,49 THORNWOOD DRIVE,,POUGHKEEPSIE,NY,12603,,,,41.67497,-73.917021
LIFESTYLES.,436 BROADWAY,,SARATOGA SPRINGS,NY,12866,,,,43.082152,-73.785021
SARATOGA SADDLERY,506 BROADWAY,,SARATOGA SPRINGS,NY,12866,,,,42.904993,-73.693249
PURE PLACID,24 AMANDA DR,,LAKE PALCID,NY,12946,,,,44.305484,-74.013413
JANE MORGAN'S LITTLE HOUSE LTD.,378 MAIN ST,,AURORA,NY,13026,,,,42.754228,-76.702261
LILLIE BEAN,57 ALBANY ST,,CAZENOVIA,NY,13035,,,,42.669534,-73.742857
THE CHANGING ROOM LLC,425 SOUTH WARREN ST,,SYRACUSE,NY,13202,,,,43.046552,-76.150656
GRACIOUS HOME AND GIFTS,4650 COMMERCIAL DRIVE,,NEW HARTFORD,NY,13413,,,,43.087893,-75.31106
THE PRINCESS SHOP,9 NEW HARTFORD SHOPPING CENTER,,NEW HARTFORD,NY,13413,,,,43.078293,-75.291541
HAZEN ENTERPRISES,17 MARKET ST.,,POTSDAM,NY,13676,,,,44.669111,-74.987195
STEWARTS,85 MAIN STREET,,DELHI,NY,13753,,,,42.276709,-74.917439
CREATIVE DRESS,261 MAIN STREET,,ONEONTA,NY,13820,,,,42.455175,-75.060749
POLLYANNA AND DOT,27 SUMMIT ST.,,BATAVIA,NY,14020,,,,42.999238,-78.179049
A LILY & A SPARROW,438 MAIN ST,,MEDINA,NY,14103,,,,43.220793,-78.387269
THE WEAR HOUSE,2395 MAPLE RD,,WILLIAMSVILLE,NY,14221,,,,42.989111,-78.700805
MONTESANO'S CLOUD NINE,4178 LAKEVILLE ROAD,,GENESEO,NY,14454,,,,42.7953,-77.792706
CHANDELIERS BOUTIQUE,1 SOUTH MAIN STREET,,PITTSFORD,NY,14534,,,,43.090809,-77.515568
CHIC FEET,1835 MONROE AVENUE,,ROCHESTER,NY,14618,,,,43.127688,-77.566461
